N: 10 	 Zaman: 00:00:00.0015406
N: 100 	 Zaman: 00:00:00.0000112
N: 1000 	 Zaman: 00:00:00.0001046
N: 10000 	 Zaman: 00:00:00.0008899
N: 100000 	 Zaman: 00:00:00.0082951
N: 1000000 	 Zaman: 00:00:00.0594644
N: 10000000 	 Zaman: 00:00:00.2900879
N: 100000000 	 Zaman: 00:00:02.6051278
N: 10 	 Zaman: 00:00:00.0000060
N: 100 	 Zaman: 00:00:00.0000273
N: 1000 	 Zaman: 00:00:00.0023188
N: 10000 	 Zaman: 00:00:00.2289340
N: 100000 	 Zaman: 00:00:22.8417450
...
